Ostrich,Struthio camelus,TC000001
Yungas Manakin,Chiroxiphia boliviana,TC006557
Swallow-tailed Manakin,Chiroxiphia caudata,TC006558
Green Manakin,Xenopipo holochlora,TC006559
Olive Manakin,Xenopipo uniformis,TC006560
Yellow-headed Manakin,Xenopipo flavicapilla,TC006561
Jet Manakin,Xenopipo unicolor,TC006562
Black Manakin,Xenopipo atronitens,TC006563
Club-winged Manakin,Machaeropterus deliciosus,TC006531
Striped Manakin,Machaeropterus regulus,TC006532
Fiery-capped Manakin,Machaeropterus pyrocephalus,TC006536
White-crowned Manakin,Dixiphia pipra,TC006567
Scarlet-horned Manakin,Ceratopipra cornuta,TC006573
Red-capped Manakin,Ceratopipra mentalis,TC006575
Golden-headed Manakin,Ceratopipra erythrocephala,TC006574
Red-headed Manakin,Ceratopipra rubrocapilla,TC006576
Round-tailed Manakin,Ceratopipra chloromeros,TC006577
White-collared Manakin,Manacus candei,TC006548
Orange-collared Manakin,Manacus aurantiacus,TC006549
Golden-collared Manakin,Manacus vitellinus,TC006550
White-bearded Manakin,Manacus manacus,TC006551
Orange-crowned Manakin,Heterocercus aurantiivertex,TC006564
Yellow-crowned Manakin,Heterocercus flavivertex,TC006565
Flame-crowned Manakin,Heterocercus linteatus,TC006566
Crimson-hooded Manakin,Pipra aureola,TC006570
Wire-tailed Manakin,Pipra filicauda,TC006571
Band-tailed Manakin,Pipra fasciicauda,TC006572
Blue-crowned Manakin,Lepidothrix coronata,TC006537
Snow-capped Manakin,Lepidothrix nattereri,TC006541
Golden-crowned Manakin,Lepidothrix vilasboasi,TC006542
Opal-crowned Manakin,Lepidothrix iris,TC006543
Orange-bellied Manakin,Lepidothrix suavissima,TC006545
White-fronted Manakin,Lepidothrix serena,TC006544
Blue-rumped Manakin,Lepidothrix isidorei,TC006546
Cerulean-capped Manakin,Lepidothrix coeruleocapilla,TC006547
Wing-barred Piprites,Piprites chloris,TC006578
Gray-headed Piprites,Piprites griseiceps,TC006579
Black-capped Piprites,Piprites pileata,TC006580
Black-tailed Tityra,Tityra cayana,TC006581
Black-crowned Tityra,Tityra inquisitor,TC006582
Masked Tityra,Tityra semifasciata,TC006583
Varzea Schiffornis,Schiffornis major,TC006584
Olivaceous Schiffornis,Schiffornis olivacea,TC006590
Northern Schiffornis,Schiffornis veraepacis,TC006586
Foothill Schiffornis,Schiffornis aenea,TC006591
Russet-winged Schiffornis,Schiffornis stenorhyncha,TC006587
Brown-winged Schiffornis,Schiffornis turdina,TC006592
Greenish Schiffornis,Schiffornis virescens,TC006593
Cinereous Mourner,Laniocera hypopyrra,TC006594
Speckled Mourner,Laniocera rufescens,TC006595
White-browed Purpletuft,Iodopleura isabellae,TC006596
Dusky Purpletuft,Iodopleura fusca,TC006597
Buff-throated Purpletuft,Iodopleura pipra,TC006598
Shrike-like Cotinga,Laniisoma elegans,TC006599
White-naped Xenopsaris,Xenopsaris albinucha,TC006600
Green-backed Becard,Pachyramphus viridis,TC006601
Barred Becard,Pachyramphus versicolor,TC006604
Slaty Becard,Pachyramphus spodiurus,TC006605
Cinereous Becard,Pachyramphus rufus,TC006606
Cinnamon Becard,Pachyramphus cinnamomeus,TC006607
Chestnut-crowned Becard,Pachyramphus castaneus,TC006608
White-winged Becard,Pachyramphus polychopterus,TC006609
Black-and-white Becard,Pachyramphus albogriseus,TC006610
Gray-collared Becard,Pachyramphus major,TC006611
Black-capped Becard,Pachyramphus marginatus,TC006612
Glossy-backed Becard,Pachyramphus surinamus,TC006613
Rose-throated Becard,Pachyramphus aglaiae,TC006614
Jamaican Becard,Pachyramphus niger,TC006615
One-colored Becard,Pachyramphus homochrous,TC006616
Pink-throated Becard,Pachyramphus minor,TC006617
Crested Becard,Pachyramphus validus,TC006618
Albert's Lyrebird,Menura alberti,TC006620
Superb Lyrebird,Menura novaehollandiae,TC006621
Rufous Scrub-bird,Atrichornis rufescens,TC006622
Noisy Scrub-bird,Atrichornis clamosus,TC006623
White-eared Catbird,Ailuroedus buccoides,TC006624
Spotted Catbird,Ailuroedus melanotis,TC006625
Green Catbird,Ailuroedus crassirostris,TC006626
Tooth-billed Catbird,Scenopoeetes dentirostris,TC006627
Archbold's Bowerbird,Archboldia papuensis,TC006628
Sanford's Bowerbird,Archboldia sanfordi,TC006629
Vogelkop Bowerbird,Amblyornis inornata,TC006630
Macgregor's Bowerbird,Amblyornis macgregoriae,TC006631
Streaked Bowerbird,Amblyornis subalaris,TC006632
Golden-fronted Bowerbird,Amblyornis flavifrons,TC006633
Golden Bowerbird,Amblyornis newtoniana,TC006634
Flame Bowerbird,Sericulus aureus,TC006635
Fire-maned Bowerbird,Sericulus bakeri,TC006636
Regent Bowerbird,Sericulus chrysocephalus,TC006637
Satin Bowerbird,Ptilonorhynchus violaceus,TC006638
Western Bowerbird,Chlamydera guttata,TC006639
Spotted Bowerbird,Chlamydera maculata,TC006640
Great Bowerbird,Chlamydera nuchalis,TC006641
Yellow-breasted Bowerbird,Chlamydera lauterbachi,TC006642
Fawn-breasted Bowerbird,Chlamydera cerviniventris,TC006643
Papuan Treecreeper,Cormobates placens,TC006644
White-throated Treecreeper,Cormobates leucophaea,TC006645
White-browed Treecreeper,Climacteris affinis,TC006648
Red-browed Treecreeper,Climacteris erythrops,TC006649
Brown Treecreeper,Climacteris picumnus,TC006650
Black-tailed Treecreeper,Climacteris melanurus,TC006651
Rufous Treecreeper,Climacteris rufus,TC006652
Gray Grasswren,Amytornis barbatus,TC006689
Striated Grasswren,Amytornis striatus,TC006683
White-throated Grasswren,Amytornis woodwardi,TC006686
Carpentarian Grasswren,Amytornis dorotheae,TC006687
Short-tailed Grasswren,Amytornis merrotsyi,TC006688
Thick-billed Grasswren,Amytornis textilis,TC006676
Black Grasswren,Amytornis housei,TC006682
Eyrean Grasswren,Amytornis goyderi,TC006690
Dusky Grasswren,Amytornis purnelli,TC006680
Kalkadoon Grasswren,Amytornis ballarae,TC006681
Southern Emuwren,Stipiturus malachurus,TC006673
Rufous-crowned Emuwren,Stipiturus ruficeps,TC006674
Mallee Emuwren,Stipiturus mallee,TC006675
Wallace's Fairywren,Sipodotus wallacii,TC006654
Orange-crowned Fairywren,Clytomyias insignis,TC006653
Broad-billed Fairywren,Chenorhamphus grayi,TC006655
Campbell's Fairywren,Chenorhamphus campbelli,TC012318
Emperor Fairywren,Malurus cyanocephalus,TC006671
Purple-crowned Fairywren,Malurus coronatus,TC006670
Red-winged Fairywren,Malurus elegans,TC006668
Blue-breasted Fairywren,Malurus pulcherrimus,TC006669
Variegated Fairywren,Malurus lamberti,TC006663
Lovely Fairywren,Malurus amabilis,TC006667
Splendid Fairywren,Malurus splendens,TC006662
Superb Fairywren,Malurus cyaneus,TC006661
White-winged Fairywren,Malurus leucopterus,TC006658
Red-backed Fairywren,Malurus melanocephalus,TC006657
White-shouldered Fairywren,Malurus alboscapulatus,TC006656
Eastern Spinebill,Acanthorhynchus tenuirostris,TC006691
Western Spinebill,Acanthorhynchus superciliosus,TC006692
Pied Honeyeater,Certhionyx variegatus,TC006693
Plain Honeyeater,Pycnopygius ixoides,TC006694
Marbled Honeyeater,Pycnopygius cinereus,TC006695
Streak-headed Honeyeater,Pycnopygius stictocephalus,TC006696
White-streaked Friarbird,Melitograis gilolensis,TC006697
Tui,Prosthemadera novaeseelandiae,TC006698
Forest Honeyeater,Meliphaga montana,TC006699
Spot-breasted Meliphaga,Meliphaga mimikae,TC006700
Mountain Meliphaga,Meliphaga orientalis,TC006701
Scrub Honeyeater,Meliphaga albonotata,TC006702
Puff-backed Honeyeater,Meliphaga aruensis,TC006703
Mimic Honeyeater,Meliphaga analoga,TC006704
Tagula Honeyeater,Meliphaga vicina,TC006705
Graceful Honeyeater,Meliphaga gracilis,TC006706
Yellow-spotted Honeyeater,Meliphaga notata,TC006707
Yellow-gaped Honeyeater,Meliphaga flavirictus,TC006708
Lewin's Honeyeater,Meliphaga lewinii,TC006709
White-lined Honeyeater,Meliphaga albilineata,TC006710
Kimberley Honeyeater,Meliphaga fordiana,TC006711
Streak-breasted Honeyeater,Meliphaga reticulata,TC006712
Black-throated Honeyeater,Lichenostomus subfrenatus,TC006714
Obscure Honeyeater,Lichenostomus obscurus,TC006715
Bridled Honeyeater,Lichenostomus frenatus,TC006716
Eungella Honeyeater,Lichenostomus hindwoodi,TC006717
Yellow-faced Honeyeater,Lichenostomus chrysops,TC006718
Varied Honeyeater,Lichenostomus versicolor,TC006719
Mangrove Honeyeater,Lichenostomus fasciogularis,TC006720
Singing Honeyeater,Lichenostomus virescens,TC006721
Yellow Honeyeater,Lichenostomus flavus,TC006722
White-gaped Honeyeater,Lichenostomus unicolor,TC006723
White-eared Honeyeater,Lichenostomus leucotis,TC006724
Yellow-throated Honeyeater,Lichenostomus flavicollis,TC006725
Yellow-tufted Honeyeater,Lichenostomus melanops,TC006726
Purple-gaped Honeyeater,Lichenostomus cratitius,TC006729
Gray-headed Honeyeater,Lichenostomus keartlandi,TC006730
Yellow-tinted Honeyeater,Lichenostomus flavescens,TC006731
Fuscous Honeyeater,Lichenostomus fuscus,TC006732
Gray-fronted Honeyeater,Lichenostomus plumulus,TC006733
Yellow-plumed Honeyeater,Lichenostomus ornatus,TC006734
White-plumed Honeyeater,Lichenostomus penicillatus,TC006735
White-fronted Honeyeater,Purnella albifrons,TC006737
Guadalcanal Honeyeater,Guadalcanaria inexpectata,TC006738
Orange-cheeked Honeyeater,Oreornis chrysogenys,TC006739
Bell Miner,Manorina melanophrys,TC006740
Noisy Miner,Manorina melanocephala,TC006741
Yellow-throated Miner,Manorina flavigula,TC006742
Black-eared Miner,Manorina melanotis,TC006743
Spiny-cheeked Honeyeater,Acanthagenys rufogularis,TC006744
Red Wattlebird,Anthochaera carunculata,TC006745
Little Wattlebird,Anthochaera chrysoptera,TC006746
Western Wattlebird,Anthochaera lunulata,TC006747
Yellow Wattlebird,Anthochaera paradoxa,TC006748
Regent Honeyeater,Anthochaera phrygia,TC006749
Brown-backed Honeyeater,Ramsayornis modestus,TC006751
Bar-breasted Honeyeater,Ramsayornis fasciatus,TC006752
Rufous-banded Honeyeater,Conopophila albogularis,TC006753
Rufous-throated Honeyeater,Conopophila rufogularis,TC006754
Gray Honeyeater,Conopophila whitei,TC006755
Crimson Chat,Epthianura tricolor,TC006756
Orange Chat,Epthianura aurifrons,TC006757
Yellow Chat,Epthianura crocea,TC006758
White-fronted Chat,Epthianura albifrons,TC006759
Gibber Chat,Ashbyia lovensis,TC006760
Black Honeyeater,Sugomel niger,TC006761
Seram Myzomela,Myzomela blasii,TC006762
White-chinned Myzomela,Myzomela albigula,TC006763
Red-throated Myzomela,Myzomela eques,TC006764
Ashy Myzomela,Myzomela cineracea,TC006765
Dusky Myzomela,Myzomela obscura,TC006766
Red Myzomela,Myzomela cruentata,TC006767
Black Myzomela,Myzomela nigrita,TC006768
New Ireland Myzomela,Myzomela pulchella,TC006769
Crimson-hooded Myzomela,Myzomela kuehni,TC006770
Red-headed Myzomela,Myzomela erythrocephala,TC006771
Sumba Myzomela,Myzomela dammermani,TC006772
Mountain Myzomela,Myzomela adolphinae,TC006773
Sulawesi Myzomela,Myzomela chloroptera,TC006774
Wakolo Myzomela,Myzomela wakoloensis,TC006775
Banda Myzomela,Myzomela boiei,TC006776
New Caledonian Myzomela,Myzomela caledonica,TC006777
Scarlet Myzomela,Myzomela sanguinolenta,TC006778
Micronesian Myzomela,Myzomela rubratra,TC006779
Cardinal Myzomela,Myzomela cardinalis,TC006780
Rotuma Myzomela,Myzomela chermesina,TC006781
Scarlet-bibbed Myzomela,Myzomela sclateri,TC006782
Ebony Myzomela,Myzomela pammelaena,TC006783
Scarlet-naped Myzomela,Myzomela lafargei,TC006784
Yellow-vented Myzomela,Myzomela eichhorni,TC006785
Red-bellied Myzomela,Myzomela malaitae,TC006786
Black-headed Myzomela,Myzomela melanocephala,TC006787
Sooty Myzomela,Myzomela tristrami,TC006788
Orange-breasted Myzomela,Myzomela jugularis,TC006789
Black-bellied Myzomela,Myzomela erythromelas,TC006790
Black-breasted Myzomela,Myzomela vulnerata,TC006791
Red-collared Myzomela,Myzomela rosenbergii,TC006792
Green-backed Honeyeater,Glycichaera fallax,TC006794
Tawny-crowned Honeyeater,Gliciphila melanops,TC006795
Banded Honeyeater,Cissomela pectoralis,TC006796
New Zealand Bellbird,Anthornis melanura,TC006797
Sunda Honeyeater,Lichmera lombokia,TC006798
Olive Honeyeater,Lichmera argentauris,TC006799
Brown Honeyeater,Lichmera indistincta,TC006800
Indonesian Honeyeater,Lichmera limbata,TC006801
Dark-brown Honeyeater,Lichmera incana,TC006802
White-tufted Honeyeater,Lichmera squamata,TC006803
Silver-eared Honeyeater,Lichmera alboauricularis,TC006804
Buru Honeyeater,Lichmera deningeri,TC006805
Seram Honeyeater,Lichmera monticola,TC006806
Yellow-eared Honeyeater,Lichmera flavicans,TC006807
Black-chested Honeyeater,Lichmera notabilis,TC006808
Crescent Honeyeater,Phylidonyris pyrrhopterus,TC006809
New Holland Honeyeater,Phylidonyris novaehollandiae,TC006810
White-cheeked Honeyeater,Phylidonyris niger,TC006811
Barred Honeyeater,Phylidonyris undulatus,TC006812
New Hebrides Honeyeater,Phylidonyris notabilis,TC006813
White-streaked Honeyeater,Trichodere cockerelli,TC006814
Wattled Honeyeater,Foulehaio carunculatus,TC006815
Giant Honeyeater,Gymnomyza viridis,TC006816
Mao,Gymnomyza samoensis,TC006817
Crow Honeyeater,Gymnomyza aubryana,TC006818
White-naped Honeyeater,Melithreptus lunatus,TC006819
Black-headed Honeyeater,Melithreptus affinis,TC006822
White-throated Honeyeater,Melithreptus albogularis,TC006823
Black-chinned Honeyeater,Melithreptus gularis,TC006824
Strong-billed Honeyeater,Melithreptus validirostris,TC006827
Brown-headed Honeyeater,Melithreptus brevirostris,TC006828
Blue-faced Honeyeater,Entomyzon cyanotis,TC006829
Meyer's Friarbird,Philemon meyeri,TC006830
Timor Friarbird,Philemon inornatus,TC006831
Gray Friarbird,Philemon kisserensis,TC006832
Brass's Friarbird,Philemon brassi,TC006833
Dusky Friarbird,Philemon fuscicapillus,TC006834
Little Friarbird,Philemon citreogularis,TC006835
Black-faced Friarbird,Philemon moluccensis,TC006836
Seram Friarbird,Philemon subcorniculatus,TC006837
Helmeted Friarbird,Philemon buceroides,TC006838
White-naped Friarbird,Philemon albitorques,TC006839
New Britain Friarbird,Philemon cockerelli,TC006840
New Ireland Friarbird,Philemon eichhorni,TC006841
Silver-crowned Friarbird,Philemon argenticeps,TC006842
Noisy Friarbird,Philemon corniculatus,TC006843
New Caledonian Friarbird,Philemon diemenensis,TC006844
Tawny-breasted Honeyeater,Xanthotis flaviventer,TC006845
Spotted Honeyeater,Xanthotis polygrammus,TC006846
Macleay's Honeyeater,Xanthotis macleayanus,TC006847
Kandavu Honeyeater,Xanthotis provocator,TC006848
Striped Honeyeater,Plectorhyncha lanceolata,TC006849
Painted Honeyeater,Grantiella picta,TC006850
Olive Straightbill,Timeliopsis fulvigula,TC006851
Tawny Straightbill,Timeliopsis griseigula,TC006852
Long-billed Honeyeater,Melilestes megarhynchus,TC006853
Bougainville Honeyeater,Stresemannia bougainvillei,TC006854
Arfak Honeyeater,Melipotes gymnops,TC006855
Smoky Honeyeater,Melipotes fumigatus,TC006856
Wattled Smoky Honeyeater,Melipotes carolae,TC006857
Spangled Honeyeater,Melipotes ater,TC006858
Macgregor's Honeyeater,Macgregoria pulchra,TC006859
Sooty Melidectes,Melidectes fuscus,TC006860
Bismarck Melidectes,Melidectes whitemanensis,TC006861
Short-bearded Melidectes,Melidectes nouhuysi,TC006862
Long-bearded Melidectes,Melidectes princeps,TC006863
Cinnamon-browed Melidectes,Melidectes ochromelas,TC006864
Vogelkop Melidectes,Melidectes leucostephes,TC006865
Belford's Melidectes,Melidectes belfordi,TC006866
Yellow-browed Melidectes,Melidectes rufocrissalis,TC006867
Huon Melidectes,Melidectes foersteri,TC006868
Ornate Melidectes,Melidectes torquatus,TC006869
San Cristobal Melidectes,Melidectes sclateri,TC006870
Leaden Honeyeater,Ptiloprora plumbea,TC006871
Olive-streaked Honeyeater,Ptiloprora meekiana,TC006872
Rufous-sided Honeyeater,Ptiloprora erythropleura,TC006873
Mayr's Honeyeater,Ptiloprora mayri,TC006874
Rufous-backed Honeyeater,Ptiloprora guisei,TC006875
Black-backed Honeyeater,Ptiloprora perstriata,TC006876
Dark-eared Myza,Myza celebensis,TC006877
White-eared Myza,Myza sarasinorum,TC006878
Western Bristlebird,Dasyornis longirostris,TC006879
Eastern Bristlebird,Dasyornis brachypterus,TC006880
Rufous Bristlebird,Dasyornis broadbenti,TC006881
Spotted Pardalote,Pardalotus punctatus,TC006882
Forty-spotted Pardalote,Pardalotus quadragintus,TC006883
Red-browed Pardalote,Pardalotus rubricatus,TC006884
Striated Pardalote,Pardalotus striatus,TC006885
Goldenface,Pachycare flavogriseum,TC007270
Pilotbird,Pycnoptilus floccosus,TC006891
Rockwarbler,Origma solitaria,TC006892
Fernwren,Oreoscopus gutturalis,TC006893
Rusty Mouse-Warbler,Crateroscelis murina,TC006894
Bicolored Mouse-Warbler,Crateroscelis nigrorufa,TC006895
Mountain Mouse-Warbler,Crateroscelis robusta,TC006896
Yellow-throated Scrubwren,Sericornis citreogularis,TC006897
White-browed Scrubwren,Sericornis frontalis,TC006898
Tasmanian Scrubwren,Sericornis humilis,TC006902
Atherton Scrubwren,Sericornis keri,TC006903
Tropical Scrubwren,Sericornis beccarii,TC006904
Perplexing Scrubwren,Sericornis virgatus,TC006905
Large Scrubwren,Sericornis nouhuysi,TC006906
Large-billed Scrubwren,Sericornis magnirostra,TC006907
Vogelkop Scrubwren,Sericornis rufescens,TC006908
Buff-faced Scrubwren,Sericornis perspicillatus,TC006909
Papuan Scrubwren,Sericornis papuensis,TC006910
Gray-green Scrubwren,Sericornis arfakianus,TC006911
Pale-billed Scrubwren,Sericornis spilodera,TC006912
Scrubtit,Acanthornis magna,TC006914
Redthroat,Pyrrholaemus brunneus,TC006915
Speckled Warbler,Pyrrholaemus sagittatus,TC006916
Rufous Fieldwren,Calamanthus campestris,TC006917
Striated Fieldwren,Calamanthus fuliginosus,TC006918
Chestnut-rumped Heathwren,Hylacola pyrrhopygia,TC006919
Shy Heathwren,Hylacola cauta,TC006920
Papuan Thornbill,Acanthiza murina,TC006921
Buff-rumped Thornbill,Acanthiza reguloides,TC006922
Western Thornbill,Acanthiza inornata,TC006923
Slender-billed Thornbill,Acanthiza iredalei,TC006924
Mountain Thornbill,Acanthiza katherina,TC006925
Brown Thornbill,Acanthiza pusilla,TC006926
Tasmanian Thornbill,Acanthiza ewingii,TC006927
Inland Thornbill,Acanthiza apicalis,TC006928
Yellow-rumped Thornbill,Acanthiza chrysorrhoa,TC006929
Chestnut-rumped Thornbill,Acanthiza uropygialis,TC006930
Slaty-backed Thornbill,Acanthiza robustirostris,TC006931
Yellow Thornbill,Acanthiza nana,TC006932
Striated Thornbill,Acanthiza lineata,TC006933
Weebill,Smicrornis brevirostris,TC006935
Mountain Gerygone,Gerygone cinerea,TC006936
Green-backed Gerygone,Gerygone chloronota,TC006937
Fairy Gerygone,Gerygone palpebrosa,TC006938
Biak Gerygone,Gerygone hypoxantha,TC006941
White-throated Gerygone,Gerygone olivacea,TC006942
Yellow-bellied Gerygone,Gerygone chrysogaster,TC006943
Large-billed Gerygone,Gerygone magnirostris,TC006944
Dusky Gerygone,Gerygone tenebrosa,TC006945
Brown Gerygone,Gerygone mouki,TC006946
Golden-bellied Gerygone,Gerygone sulphurea,TC006947
Plain Gerygone,Gerygone inornata,TC006948
Rufous-sided Gerygone,Gerygone dorsalis,TC006949
Brown-breasted Gerygone,Gerygone ruficollis,TC006950
Western Gerygone,Gerygone fusca,TC006951
Mangrove Gerygone,Gerygone levigaster,TC006952
Norfolk Island Gerygone,Gerygone modesta,TC006953
Lord Howe Gerygone,Gerygone insularis,TC006954
Gray Gerygone,Gerygone igata,TC006955
Chatham Island Gerygone,Gerygone albofrontata,TC006956
Fan-tailed Gerygone,Gerygone flavolateralis,TC006957
Southern Whiteface,Aphelocephala leucopsis,TC006959
Chestnut-breasted Whiteface,Aphelocephala pectoralis,TC006960
Banded Whiteface,Aphelocephala nigricincta,TC006961
New Guinea Babbler,Pomatostomus isidorei,TC006962
Gray-crowned Babbler,Pomatostomus temporalis,TC006963
White-browed Babbler,Pomatostomus superciliosus,TC006964
Hall's Babbler,Pomatostomus halli,TC006965
Chestnut-crowned Babbler,Pomatostomus ruficeps,TC006966
Northern Logrunner,Orthonyx novaeguineae,TC006967
Australian Logrunner,Orthonyx temminckii,TC006968
Chowchilla,Orthonyx spaldingii,TC006969
Loria's Satinbird,Cnemophilus loriae,TC006970
Crested Satinbird,Cnemophilus macgregorii,TC006971
Yellow-breasted Satinbird,Loboparadisea sericea,TC006972
Obscure Berrypecker,Melanocharis arfakiana,TC006973
Black Berrypecker,Melanocharis nigra,TC006974
Lemon-breasted Berrypecker,Melanocharis longicauda,TC006975
Fan-tailed Berrypecker,Melanocharis versteri,TC006976
Streaked Berrypecker,Melanocharis striativentris,TC006977
Spotted Berrypecker,Melanocharis crassirostris,TC006978
Yellow-bellied Longbill,Toxorhamphus novaeguineae,TC006979
Slaty-chinned Longbill,Toxorhamphus poliopterus,TC006980
Dwarf Honeyeater,Toxorhamphus iliolophus,TC006981
Pygmy Honeyeater,Toxorhamphus pygmaeum,TC006982
Tit Berrypecker,Oreocharis arfaki,TC006983
Crested Berrypecker,Paramythia montium,TC006984
Kokako,Callaeas cinereus,TC006985
Saddleback,Philesturnus carunculatus,TC006988
Huia,Heteralocha acutirostris,TC006991
Stitchbird,Notiomystis cincta,TC006992
Papuan Whipbird,Androphobus viridis,TC006993
Eastern Whipbird,Psophodes olivaceus,TC006994
Western Whipbird,Psophodes nigrogularis,TC006995
Chiming Wedgebill,Psophodes occidentalis,TC006996
Chirruping Wedgebill,Psophodes cristatus,TC006997
Spotted Quail-thrush,Cinclosoma punctatum,TC006998
Chestnut Quail-thrush,Cinclosoma castanotum,TC006999
Chestnut-breasted Quail-thrush,Cinclosoma castaneothorax,TC007000
Western Quail-thrush,Cinclosoma marginatum,TC007001
Cinnamon Quail-thrush,Cinclosoma cinnamomeum,TC007003
Nullarbor Quail-Thrush,Cinclosoma alisteri,TC013057
Painted Quail-thrush,Cinclosoma ajax,TC007004
Spotted Jewel-babbler,Ptilorrhoa leucosticta,TC007005
Blue Jewel-babbler,Ptilorrhoa caerulescens,TC007006
Chestnut-backed Jewel-babbler,Ptilorrhoa castanonota,TC007007
White-tailed Shrike,Lanioturdus torquatus,TC007038
Brown-throated Wattle-eye,Platysteira cyanea,TC007010
White-fronted Wattle-eye,Platysteira albifrons,TC007011
Black-throated Wattle-eye,Platysteira peltata,TC007012
Banded Wattle-eye,Platysteira laticincta,TC007013
Chestnut Wattle-eye,Platysteira castanea,TC007014
West African Wattle-eye,Platysteira hormophora,TC013603
White-spotted Wattle-eye,Platysteira tonsa,TC007015
Red-cheeked Wattle-eye,Platysteira blissetti,TC007016
Black-necked Wattle-eye,Platysteira chalybea,TC007017
Jameson's Wattle-eye,Platysteira jamesoni,TC007018
Yellow-bellied Wattle-eye,Platysteira concreta,TC007019
Boulton's Batis,Batis margaritae,TC007020
Short-tailed Batis,Batis mixta,TC007021
Dark Batis,Batis crypta,TC012439
Ruwenzori Batis,Batis diops,TC007022
Cape Batis,Batis capensis,TC007023
Woodward's Batis,Batis fratrum,TC007024
Chinspot Batis,Batis molitor,TC007025
Pale Batis,Batis soror,TC007026
Pririt Batis,Batis pririt,TC007027
Senegal Batis,Batis senegalensis,TC007028
Gray-headed Batis,Batis orientalis,TC007029
Black-headed Batis,Batis minor,TC007030
Pygmy Batis,Batis perkeo,TC007031
Verreaux's Batis,Batis minima,TC007032
Ituri Batis,Batis ituriensis,TC007033
Fernando Po Batis,Batis poensis,TC007034
West African Batis,Batis occulta,TC007035
Angola Batis,Batis minulla,TC007036
White Helmetshrike,Prionops plumatus,TC007039
Gray-crested Helmetshrike,Prionops poliolophus,TC007040
Yellow-crested Helmetshrike,Prionops alberti,TC007041
Red-billed Helmetshrike,Prionops caniceps,TC007042
Rufous-bellied Helmetshrike,Prionops rufiventris,TC007043
Retz's Helmetshrike,Prionops retzii,TC007044
Angola Helmetshrike,Prionops gabela,TC007045
Chestnut-fronted Helmetshrike,Prionops scopifrons,TC007046
African Shrike-flycatcher,Megabyas flammulatus,TC007008
Black-and-white Shrike-flycatcher,Bias musicus,TC007009
Malabar Woodshrike,Tephrodornis sylvicola,TC012622
Large Woodshrike,Tephrodornis gularis,TC007047
Common Woodshrike,Tephrodornis pondicerianus,TC007048
Sri Lanka Woodshrike,Tephrodornis affinis,TC012807
Bar-winged Flycatcher-shrike,Hemipus picatus,TC007251
Black-winged Flycatcher-shrike,Hemipus hirundinaceus,TC007252
Rufous-winged Philentoma,Philentoma pyrhoptera,TC007049
Maroon-breasted Philentoma,Philentoma velata,TC007050
Archbold's Newtonia,Newtonia archboldi,TC007105
Common Newtonia,Newtonia brunneicauda,TC007104
Dark Newtonia,Newtonia amphichroa,TC007103
Red-tailed Newtonia,Newtonia fanovanae,TC007106
Tylas Vanga,Tylas eduardi,TC007102
Red-tailed Vanga,Calicalicus madagascariensis,TC007109
Red-shouldered Vanga,Calicalicus rufocarpalis,TC007110
Nuthatch-Vanga,Hypositta corallirostris,TC007111
Chabert Vanga,Leptopterus chabert,TC007107
Crossley's Vanga,Mystacornis crossleyi,TC007122
Blue Vanga,Cyanolanius madagascarinus,TC007108
Hook-billed Vanga,Vanga curvirostris,TC007112
Ward's Flycatcher,Pseudobias wardi,TC007121
Rufous Vanga,Schetba rufa,TC007114
Helmet Vanga,Euryceros prevostii,TC007113
Bernier's Vanga,Oriolia bernieri,TC007116
Sickle-billed Vanga,Falculea palliata,TC007115
White-headed Vanga,Artamella viridis,TC007117
Pollen's Vanga,Xenopirostris polleni,TC007120
Lafresnaye's Vanga,Xenopirostris xenopirostris,TC007118
Van Dam's Vanga,Xenopirostris damii,TC007119
Brubru,Nilaus afer,TC007051
Northern Puffback,Dryoscopus gambensis,TC007052
Pringle's Puffback,Dryoscopus pringlii,TC007053
Black-backed Puffback,Dryoscopus cubla,TC007054
Red-eyed Puffback,Dryoscopus senegalensis,TC007055
Pink-footed Puffback,Dryoscopus angolensis,TC007056
Large-billed Puffback,Dryoscopus sabini,TC007057
Marsh Tchagra,Tchagra minutus,TC007058
Black-crowned Tchagra,Tchagra senegalus,TC007059
Brown-crowned Tchagra,Tchagra australis,TC007060
Three-streaked Tchagra,Tchagra jamesi,TC007061
Southern Tchagra,Tchagra tchagra,TC007062
Red-naped Bushshrike,Laniarius ruficeps,TC007064
Somali Boubou,Laniarius erlangeri,TC007065
Luehder's Bushshrike,Laniarius luehderi,TC007066
Braun's Bushshrike,Laniarius brauni,TC007067
Gabela Bushshrike,Laniarius amboimensis,TC007068
Turati's Boubou,Laniarius turatii,TC007069
Tropical Boubou,Laniarius aethiopicus,TC007070
Zanzibar Boubou,Laniarius sublacteus,TC007071
Gabon Boubou,Laniarius bicolor,TC007072
Southern Boubou,Laniarius ferrugineus,TC007073
Common Gonolek,Laniarius barbarus,TC007074
Black-headed Gonolek,Laniarius erythrogaster,TC007075
Crimson-breasted Gonolek,Laniarius atrococcineus,TC007076
Papyrus Gonolek,Laniarius mufumbiri,TC007077
Yellow-breasted Boubou,Laniarius atroflavus,TC007078
Slate-colored Boubou,Laniarius funebris,TC007079
Sooty Boubou,Laniarius leucorhynchus,TC007080
Willard's Sooty Boubou,Laniarius willardi,TC007081
Mountain Sooty Boubou,Laniarius poensis,TC007082
